iter	Passed	Remaining
653	24868	13156
654	24904	13117
655	24942	13079
656	24978	13040
657	25015	13001
658	25052	12963
659	25088	12924
660	25125	12885
661	25166	12849
662	25204	12811
663	25240	12772
664	25276	12733
665	25312	12694
666	25348	12655
667	25385	12616
668	25421	12577
669	25459	12539
670	25496	12501
671	25532	12462
672	25569	12424
673	25606	12385
674	25644	12347
675	25682	12309
676	25719	12270
677	25756	12232
678	25794	12194
679	25833	12157
680	25870	12118
681	25907	12080
682	25946	12042
683	25982	12003
684	26019	11965
685	26056	11926
686	26093	11888
687	26129	11849
688	26166	11811
689	26202	11772
690	26240	11734
691	26280	11697
692	26318	11659
693	26354	11620
694	26390	11581
695	26429	11543
696	26466	11505
697	26503	11467
698	26539	11428
699	26575	11389
700	26611	11350
701	26647	11312
702	26684	11273
703	26720	11234
704	26759	11197
705	26796	11158
706	26833	11120
707	26869	11081
708	26909	11044
709	26947	11006
710	26983	10968
711	27019	10929
712	27056	10890
713	27091	10851
714	27128	10813
715	27166	10775
716	27202	10736
717	27238	10698
718	27274	10659
719	27312	10621
720	27349	10583
721	27386	10544
722	27421	10505
723	27460	10468
724	27497	10430
725	27533	10391
726	27570	10353
727	27608	10315
728	27645	10276
729	27682	10238
730	27718	10200
731	27754	10161
732	27795	10124
733	27831	10086
734	27867	10047
735	27930	10018
736	27971	9981
737	28007	9943
738	28044	9904
739	28080	9866
740	28117	9827
741	28154	9789
742	28191	9751
743	28229	9713
744	28266	9675
745	28303	9636
746	28340	9598
747	28377	9560
748	28415	9522
749	28451	9483
750	28488	9445
751	28523	9406
752	28559	9368
753	28596	9329
754	28632	9291
755	28668	9252
756	28711	9216
757	28748	9178
758	28785	9139
759	28821	9101
760	28856	9062
761	28893	9024
762	28929	8986
763	28972	8949
764	29016	8913
765	29053	8875
766	29091	8837
767	29130	8799
768	29167	8761
769	29205	8723
770	29243	8685
771	29280	8647
772	29319	8610
773	29356	8571
774	29392	8533
775	29429	8495
776	29466	8456
777	29503	8418
778	29539	8380
779	29576	8341
780	29615	8304
781	29652	8266
782	29688	8227
783	29725	8189
784	29763	8151
785	29801	8114
786	29840	8076
787	29877	8038
788	29914	7999
789	29951	7961
790	29988	7923
791	30024	7885
792	30060	7846
793	30097	7808
794	30133	7770
795	30169	7731
796	30205	7693
797	30241	7655
798	30277	7616
799	30315	7578
800	30351	7540
801	30388	7502
802	30424	7463
803	30461	7425
804	30498	7387
805	30534	7349
806	30569	7311
807	30606	7272
808	30642	7234
809	30678	7196
810	30716	7158
811	30752	7120
812	30788	7081
813	30824	7043
814	30862	7005
815	30899	6967
816	30935	6929
817	30972	6891
818	31009	6853
819	31053	6816
820	31092	6778
821	31128	6740
822	31164	6702
823	31200	6664
824	31236	6625
825	31273	6587
826	31309	6549
827	31345	6511
828	31381	6473
829	31418	6435
830	31454	6396
831	31491	6358
832	31528	6320
833	31566	6282
834	31607	6245
835	31646	6208
836	31685	6170
837	31726	6133
838	31766	6095
839	31805	6058
840	31844	6020
841	31882	5982
842	31919	5944
843	31957	5906
844	31993	5868
845	32034	5831
846	32074	5793
847	32114	5756
848	32153	5718
849	32193	5681
850	32232	5643
851	32272	5606
852	32311	5568
853	32351	5530
854	32389	5493
855	32429	5455
856	32472	5418
857	32514	5381
858	32553	5343
859	32593	5305
860	32632	5268
861	32671	5230
862	32713	5193
863	32752	5155
864	32794	5118
865	32835	5080
866	32875	5043
867	32920	5006
868	32964	4969
869	33007	4932
870	33047	4894
871	33089	4857
872	33129	4819
873	33170	4781
874	33207	4743
875	33243	4705
876	33281	4667
877	33322	4630
878	33363	4592
879	33406	4555
880	33446	4517
881	33485	4479
882	33525	4442
883	33566	4404
884	33605	4366
885	33644	4328
886	33683	4291
887	33750	4256
888	33790	4219
889	33829	4181
890	33870	4143
891	33910	4105
892	33950	4068
893	33990	4030
894	34029	3992
895	34068	3954
896	34108	3916
897	34146	3878
898	34189	3841
899	34228	3803
900	34267	3765
901	34303	3726
902	34340	3688
903	34377	3650
904	34416	3612
905	34456	3574
906	34498	3537
907	34539	3499
908	34578	3461
909	34617	3423
910	34656	3385
911	34695	3347
912	34735	3309
913	34775	3272
914	34814	3234
915	34854	3196
916	34894	3158
917	34934	3120
918	34974	3082
919	35013	3044
920	35051	3006
921	35091	2968
922	35132	2930
923	35171	2892
924	35213	2855
925	35254	2817
926	35294	2779
927	35335	2741
928	35376	2703
929	35416	2665
930	35455	2627
931	35496	2589
932	35533	2551
933	35571	2513
934	35613	2475
935	35653	2437
936	35694	2399
937	35733	2361
938	35772	2323
939	35822	2286
940	35862	2248
941	35902	2210
942	35946	2172
943	35985	2134
944	36025	2096
945	36064	2058
946	36104	2020
947	36144	1982
948	36181	1944
949	36221	1906
950	36262	1868
